pid,longitude,latitude,height
3m8nD0Prm8,18.276247,49.988374,197.7
3m8nD0PrmL,18.276944,49.988455,198.4
3m8nD0Q8oG,18.273405,49.988171,205.9
3m8nD0Q8oJ,18.273456,49.988177,199.9
3m8nD0Q8oK,18.273546,49.988188,202.0
3m8nD0Q8oM,18.273615,49.988196,199.9
3m8nD0Q8oV,18.274151,49.988258,203.4
3m8nD0Q8oZ,18.274273,49.988272,198.4
3m8nD0Q8ob,18.274473,49.988295,203.7
3m8nD0Q8ok,18.274913,49.988346,201.7
3m8nD0Q8ol,18.274953,49.988351,201.0
3m8nD0Q8om,18.275058,49.988363,203.9
3m8nD0Q8on,18.275108,49.988369,203.8
3m8nD0Q8p0,18.275874,49.988458,208.2
3m8nD0Q8p4,18.275936,49.988465,200.0
3m8nD0Q8pD,18.276391,49.988518,198.8
3m8nD0Q8pH,18.276678,49.988551,203.1
3m8nD0Q8pK,18.276769,49.988561,199.3
3m8nD0Q8pN,18.276868,49.988573,196.1
3m8nD0QPrI,18.273319,49.988289,203.0
3m8nD0QPrL,18.27348,49.988307,203.2
3m8nD0QPrN,18.273595,49.988321,203.7
3m8nD0QPrO,18.273552,49.988316,198.4
3m8nD0QPrV,18.273902,49.988356,197.3
3m8nD0QPrW,18.274055,49.988374,202.9
3m8nD0QPrd,18.274405,49.988414,201.8
3m8nD0QPrf,18.274525,49.988428,202.6
3m8nD0QPs7,18.275923,49.988591,198.3
3m8nD0QPsE,18.276402,49.988646,204.3
3m8nD0QPsG,18.276486,49.988656,203.1
3m8nD0QPsK,18.276581,49.988667,196.7
3m8nD0QPsO,18.276798,49.988692,197.1
3m8nD0QPsP,18.276862,49.988699,197.7
3m8nD0Qgua,18.274094,49.988505,201.1
3m8nD0QgvG,18.276319,49.988763,201.6
3m8nD0QgvH,18.276361,49.988768,201.1
3m8nD0QgvJ,18.276361,49.988768,195.2
3m8nD0QxyH,18.276185,49.988875,199.1
3m8nD0RF1C,18.275896,49.988968,205.5
3m8nD0RF1D,18.275858,49.988964,200.4
3m8nD0RF1F,18.275979,49.988978,201.3
3m8nD0RF1L,18.276198,49.989004,195.9
3m8nD0RF1N,18.276354,49.989022,198.7
3m8nD0RF1O,18.276354,49.989022,195.8
3m8nD0RW3K,18.272943,49.988753,207.5
3m8nD0RW3N,18.272994,49.988759,201.5
3m8nD0RW3Q,18.273219,49.988785,205.2
3m8nD0RW3S,18.273128,49.988775,194.3
3m8nD0RW4E,18.275885,49.989094,206.8
3m8nD0RW4H,18.275931,49.9891,200.6
3m8nD0RW4J,18.276004,49.989108,198.7
3m8nD0RW4L,18.276146,49.989125,200.8
3m8nD0RW4M,18.276151,49.989125,198.1
3m8nD0RW4N,18.276205,49.989131,198.2
3m8nD0RW4O,18.276239,49.989135,197.2
3m8nD0RW4S,18.276472,49.989162,198.4
3m8nD0Rn6H,18.272536,49.988833,201.4
3m8nD0Rn6I,18.272544,49.988834,198.9
3m8nD0Rn6L,18.272652,49.988847,196.1
3m8nD0Rn6M,18.272838,49.988868,203.5
3m8nD0Rn6O,18.272901,49.988875,201.2
3m8nD0Rn6R,18.273057,49.988893,201.1
3m8nD0Rn6S,18.273119,49.988901,201.6
3m8nD0Rn6U,18.273227,49.988913,201.7
3m8nD0Rn7H,18.275786,49.98921,200.3
3m8nD0Rn7J,18.275919,49.989225,201.8
3m8nD0Rn7L,18.275932,49.989227,196.7
3m8nD0Rn7M,18.27601,49.989236,198.1
3m8nD0Rn7O,18.276127,49.989249,198.8
3m8nD0Rn7Q,18.276187,49.989256,196.2
3m8nD0Rn7S,18.276289,49.989268,196.0
3m8nD0RnBN,18.289188,49.990762,201.1
3m8nD0RnBO,18.289199,49.990764,198.8
3m8nD0S49J,18.272605,49.988968,207.2
3m8nD0S49N,18.272726,49.988982,202.2
3m8nD0S49Q,18.272886,49.989001,202.3
3m8nD0S49W,18.273287,49.989047,207.0
3m8nD0S49a,18.273397,49.98906,201.4
3m8nD0S49c,18.273512,49.989073,201.9
3m8nD0S49d,18.273516,49.989074,199.2
3m8nD0S49h,18.273744,49.9891,200.1
3m8nD0S49k,18.273898,49.989118,199.9
3m8nD0S49l,18.274033,49.989134,204.5
3m8nD0S4AJ,18.275743,49.989332,199.8
3m8nD0S4AK,18.275861,49.989346,203.5
3m8nD0S4AS,18.276189,49.989384,198.3
3m8nD0S4AT,18.276239,49.989389,198.1
3m8nD0SLCL,18.272561,49.98909,206.7
3m8nD0SLCN,18.272475,49.98908,196.1
3m8nD0SLCP,18.272678,49.989104,201.5
3m8nD0SLCU,18.272839,49.989122,195.7
3m8nD0SLCV,18.273003,49.989141,201.9
3m8nD0SLCX,18.272976,49.989138,194.6
3m8nD0SLCY,18.273109,49.989154,199.0
3m8nD0SLCZ,18.273167,49.98916,199.3
3m8nD0SLCb,18.273374,49.989184,205.0
3m8nD0SLCc,18.273266,49.989172,196.0
3m8nD0SLCd,18.273417,49.989189,201.5
3m8nD0SLCj,18.273693,49.989221,199.2
3m8nD0SLCl,18.274005,49.989257,210.7
3m8nD0SLCn,18.274016,49.989259,205.4
3m8nD0SLCp,18.274112,49.98927,204.9
3m8nD0SLCs,18.274237,49.989284,203.1
3m8nD0SLCu,18.274309,49.989293,201.2
3m8nD0SLD1,18.274727,49.989341,203.9
3m8nD0SLDE,18.275351,49.989414,200.5
3m8nD0SLDM,18.275711,49.989455,197.1
3m8nD0SLDP,18.275928,49.98948,200.3
3m8nD0SLHw,18.290742,49.991197,200.6
3m8nD0SLHy,18.290742,49.991197,194.7
3m8nD0ScFL,18.272288,49.989186,199.3
3m8nD0ScFO,18.272636,49.989226,209.9
3m8nD0ScFP,18.272516,49.989212,200.2
3m8nD0ScFU,18.272995,49.989267,212.2
3m8nD0ScFX,18.27302,49.98927,204.8
3m8nD0ScFZ,18.272921,49.989259,193.5
3m8nD0ScFb,18.273082,49.989278,196.6
3m8nD0ScFe,18.27325,49.989297,197.1
3m8nD0ScFf,18.273294,49.989302,196.6
3m8nD0ScFh,18.273345,49.989308,193.6
3m8nD0ScFm,18.273831,49.989364,205.9
3m8nD0ScFn,18.273907,49.989373,207.2
3m8nD0ScFo,18.273882,49.98937,202.9
3m8nD0ScFr,18.274013,49.989385,201.4
3m8nD0ScFu,18.274235,49.989411,204.9
3m8nD0ScFv,18.274209,49.989408,200.5
3m8nD0ScFw,18.274353,49.989425,205.6
3m8nD0ScGC,18.275003,49.9895,194.9
3m8nD0ScGF,18.275404,49.989547,208.3
3m8nD0ScGG,18.275333,49.989538,201.4
3m8nD0ScGO,18.275614,49.989571,193.6
3m8nD0ScKT,18.289122,49.991136,203.2
3m8nD0ScKz,18.290707,49.99132,197.7
3m8nD0ScL0,18.290729,49.991322,195.9
3m8nD0ScL1,18.290845,49.991335,199.5
3m8nD0ScL2,18.29091,49.991343,200.2
3m8nD0ScL3,18.290955,49.991348,199.7
3m8nD0ScL4,18.291013,49.991355,200.0
3m8nD0ScL5,18.290975,49.991351,195.0
3m8nD0StIJ,18.272108,49.989292,203.0
3m8nD0StIK,18.272074,49.989288,198.2
3m8nD0StIN,18.272293,49.989313,201.5
3m8nD0StIZ,18.272897,49.989383,199.9
3m8nD0StIa,18.272999,49.989395,202.6
3m8nD0StId,18.273036,49.989399,195.9
3m8nD0StIe,18.273116,49.989409,197.4
3m8nD0StIf,18.273208,49.989419,199.6
3m8nD0StIh,18.273293,49.989429,198.5
3m8nD0StIk,18.273567,49.989461,204.9
3m8nD0StIl,18.273683,49.989474,208.4
3m8nD0StIr,18.273925,49.989502,204.3
3m8nD0StIx,18.274145,49.989528,198.9
3m8nD0StJP,18.275548,49.989691,194.8
3m8nD0StNW,18.289103,49.991261,201.2
3m8nD0StNX,18.289095,49.99126,197.8
3m8nD0StNv,18.290288,49.991398,193.8
3m8nD0StNx,18.290417,49.991413,195.2
3m8nD0StO3,18.290777,49.991455,197.6
3m8nD0StO4,18.290855,49.991464,199.1
3m8nD0StO6,18.291022,49.991483,202.4
3m8nD0StO7,18.29105,49.991486,201.1
3m8nD0TALL,18.27215,49.989423,207.3
3m8nD0TALN,18.272111,49.989419,199.2
3m8nD0TALT,18.272398,49.989452,197.6
3m8nD0TALW,18.272587,49.989474,199.3
3m8nD0TALX,18.272574,49.989473,195.6
3m8nD0TALZ,18.272785,49.989497,201.5
3m8nD0TALl,18.273459,49.989575,203.7
3m8nD0TALm,18.273422,49.989571,198.8
3m8nD0TALo,18.273483,49.989578,196.3
3m8nD0TALy,18.274149,49.989655,204.0
3m8nD0TALz,18.274195,49.989661,203.6
3m8nD0TAMN,18.275405,49.989801,200.5
3m8nD0TAMS,18.275641,49.989828,199.0
3m8nD0TAQX,18.289058,49.991383,203.6
3m8nD0TAQY,18.289,49.991376,197.4
3m8nD0TAQZ,18.28903,49.99138,196.2
3m8nD0TAQy,18.290435,49.991542,201.1
3m8nD0TAQz,18.290497,49.991549,201.6
3m8nD0TAR0,18.290492,49.991549,198.4
3m8nD0TAR1,18.290548,49.991555,198.6
3m8nD0TROY,18.272555,49.989598,199.4
3m8nD0TROZ,18.272605,49.989603,199.3
3m8nD0TROb,18.272687,49.989613,198.0
3m8nD0TROc,18.272873,49.989634,205.4
3m8nD0TROg,18.273046,49.989654,203.3
3m8nD0TROh,18.273036,49.989653,199.8
