Date,3m8ox4pDb7,3m8ox4pDbC,3m8ox4pDbE,3m8ox4pUeB,3m8ox4pUeC,3m8ox4pUeF,3m8ox4plhC,3m8ox4plhE,3m8ox4plhH
2016-12-11,-1.75,-0.99,-1.7999999999999998,-1.47,-3.5700000000000003,1.6400000000000001,-2.3000000000000003,-3.21,1.4099999999999997
2016-12-17,-1.9000000000000001,-1.3699999999999999,-2.42,0.130000000000001,-3.2899999999999996,1.6900000000000004,-2.1700000000000004,-2.8700000000000006,1.4100000000000001
2016-12-23,-1.89,-1.69,-2.4999999999999996,-0.41000000000000036,-4.000000000000001,0.9600000000000004,-2.0200000000000005,-2.95,0.98
2016-12-29,-2.06,-1.8299999999999998,-2.4999999999999996,-0.7300000000000006,-4.54,0.19,-2.35,-3.2400000000000007,0.4799999999999999
2017-01-04,-2.2199999999999998,-1.7999999999999998,-1.7799999999999998,-0.5100000000000002,-5.23,0.23000000000000012,-2.23,-3.7900000000000005,0.4000000000000002
2017-01-10,-2.6599999999999997,-2.1,-2.1499999999999995,-1.2100000000000004,-5.17,-0.1,-2.28,-4.0200000000000005,-0.1699999999999999
2017-01-16,-2.4200000000000004,-1.5899999999999999,-1.99,-0.37999999999999967,-4.79,0.3400000000000002,-1.95,-3.7099999999999995,0.1600000000000002
2017-01-22,-2.5100000000000007,-1.56,-2.1599999999999997,0.26000000000000006,-4.580000000000001,0.46,-1.83,-3.7900000000000005,-0.010000000000000009
2017-01-28,-1.98,-1.0400000000000005,-1.83,1.0300000000000005,-4.26,0.8999999999999999,-1.48,-3.52,0.1500000000000002
2017-02-03,-1.4700000000000004,-0.5100000000000002,-1.5799999999999998,1.8100000000000005,-4.0600000000000005,1.1399999999999997,-1.52,-3.3,-0.2900000000000002
2017-02-09,-1.5000000000000007,-0.05000000000000043,-1.4600000000000004,2.6200000000000006,-4.180000000000001,1.63,-1.4300000000000002,-3.6900000000000004,-2.0122792321330962e-16
2017-02-15,-1.0100000000000002,0.6599999999999998,-0.3999999999999999,0.7099999999999995,-4.42,1.5099999999999998,-1.5900000000000003,-3.94,0.3
2017-02-21,-1.1300000000000008,0.7999999999999997,-0.54,1.1099999999999999,-3.710000000000001,2.01,-1.7400000000000004,-3.9499999999999997,0.5599999999999998
2017-02-27,-0.8900000000000001,1.3500000000000003,-0.16999999999999976,1.65,-3.15,2.39,-1.48,-3.6199999999999997,1.17
2017-03-05,-0.18,2.1100000000000003,0.3200000000000002,2.75,-2.3200000000000003,2.4,-1.45,-2.96,1.89
2017-03-11,0.9200000000000003,3.0600000000000005,0.7,3.99,-2.06,3.2500000000000004,-1.3099999999999998,-2.7199999999999998,2.7800000000000002
2017-03-17,0.8199999999999996,2.82,0.11999999999999955,3.35,-2.37,3.25,-1.8900000000000001,-3.5500000000000003,2.7299999999999995
2017-03-23,1.1899999999999997,3.11,0.4699999999999999,2.7100000000000004,-2.4200000000000004,3.7399999999999998,-2.07,-3.39,3.29
2017-03-29,0.7099999999999997,2.77,1.1000000000000003,2.3600000000000003,-2.55,2.94,-2.0999999999999996,-3.71,2.789999999999999
2017-04-04,0.35999999999999965,2.8200000000000003,1.0399999999999998,2.09,-2.68,3.32,-2.5400000000000005,-3.8800000000000003,3.73
2017-04-10,0.8800000000000003,3.1400000000000006,1.35,2.28,-2.11,3.84,-1.94,-3.41,5.090000000000001
2017-04-16,1.2800000000000002,3.5,1.4400000000000002,2.94,-1.68,3.78,-1.7000000000000004,-2.9599999999999995,4.960000000000001
2017-04-22,2.0100000000000007,4.800000000000001,2.66,3.97,-1.25,4.49,-2.250000000000001,-2.23,5.99
2017-04-28,3.35,5.620000000000001,3.29,4.99,-0.38999999999999985,5.879999999999999,-2.9300000000000006,-2.06,6.85
2017-05-04,3.46,6.04,3.38,5.24,0.25999999999999956,7.54,-3.8600000000000008,-1.8300000000000003,6.31
2017-05-10,2.5699999999999994,6.51,4.0200000000000005,5.59,-0.21000000000000163,7.9399999999999995,-5.01,-1.7400000000000004,6.640000000000001
2017-05-16,3.1199999999999997,7.25,4.76,7.03,-0.9700000000000013,8.620000000000001,-5.7,-1.0200000000000005,7.5200000000000005
2017-05-22,3.27,8.229999999999999,5.640000000000001,8.32,-1.6200000000000006,8.89,-5.89,-0.30000000000000016,7.18
2017-05-28,3.64,8.5,4.83,9.100000000000001,-0.9799999999999993,9.59,-6.21,0.45999999999999985,7.760000000000001
2017-06-03,4.19,8.98,5.21,9.89,-0.16999999999999932,9.910000000000002,-6.83,1.0899999999999999,7.630000000000002
2017-06-09,3.6300000000000003,9.51,6.040000000000001,10.740000000000002,-0.8799999999999999,9.81,-8.03,1.43,7.500000000000001
2017-06-15,3.520000000000001,9.5,5.93,10.65,-1.23,10.590000000000002,-8.41,0.5299999999999997,7.750000000000001
2017-06-21,2.19,9.430000000000001,5.66,10.57,-1.8499999999999999,10.32,-8.55,0.08000000000000007,7.23
2017-06-27,1.1300000000000001,8.879999999999999,5.27,10.12,-2.5199999999999996,8.72,-8.270000000000001,-0.35999999999999976,6.47
2017-07-03,1.2600000000000002,8.78,5.170000000000001,10.290000000000001,-3.6200000000000006,7.99,-7.790000000000001,-0.06999999999999983,7.91
2017-07-09,1.67,8.84,5.08,10.500000000000002,-3.04,8.100000000000001,-7.200000000000001,0.3000000000000003,8.180000000000001
2017-07-15,1.9900000000000002,8.990000000000002,5.650000000000001,10.450000000000001,-1.2499999999999998,7.74,-6.61,0.8400000000000003,7.49
2017-07-21,3.0700000000000007,8.71,5.98,10.450000000000001,0.2500000000000001,7.340000000000001,-6.390000000000001,0.8799999999999999,7.7
2017-07-27,3.2199999999999998,9.379999999999999,6.88,10.59,0.10999999999999993,8.34,-6.480000000000001,0.37999999999999956,6.37
2017-08-02,2.9099999999999993,8.82,6.150000000000001,10.000000000000002,-0.16000000000000053,8.07,-5.4700000000000015,-0.06000000000000057,5.580000000000001
2017-08-08,3.59,8.419999999999998,5.390000000000001,9.370000000000001,0.86,8.01,-5.240000000000001,0.10999999999999976,5.250000000000001
2017-08-14,3.48,8.160000000000002,5.3900000000000015,9.550000000000002,0.9199999999999995,7.35,-5.0200000000000005,0.8,4.8100000000000005
2017-08-20,4.550000000000001,7.5600000000000005,5.3100000000000005,9.18,2.44,6.800000000000001,-4.510000000000001,0.8399999999999999,4.520000000000001
2017-08-26,4.620000000000001,7.47,5.4,9.030000000000001,2.3,7.660000000000001,-4.260000000000001,0.6900000000000003,4.500000000000001
2017-09-01,4.315,7.010000000000001,5.010000000000001,8.485000000000001,3.01,7.485,-3.615,-0.10999999999999975,3.4850000000000008
2017-09-07,3.8150000000000004,6.08,4.3100000000000005,7.675000000000001,3.21,6.735000000000001,-2.9749999999999996,-1.6099999999999997,2.605
2017-09-13,2.865,5.24,3.22,6.994999999999999,2.29,6.155,-2.6950000000000003,-2.7399999999999993,2.695
2017-09-19,1.7449999999999999,4.92,2.1500000000000004,6.6049999999999995,1.9400000000000004,6.555000000000001,-2.3850000000000002,-2.879999999999999,2.795
2017-09-25,1.4050000000000002,4.140000000000001,1.6600000000000001,5.755000000000001,1.5500000000000003,5.105,-2.1250000000000004,-2.8099999999999996,4.165
2017-10-01,1.2150000000000003,3.86,1.57,4.835,1.2800000000000007,4.6450000000000005,-2.115,-1.3199999999999994,3.6849999999999996
2017-10-07,1.0350000000000004,3.6700000000000004,1.6600000000000004,4.605,0.6200000000000001,4.065,-1.645,-1.9500000000000008,3.305
2017-10-13,0.6650000000000003,3.31,1.3300000000000003,3.905000000000001,0.31000000000000016,3.9950000000000006,-1.9450000000000003,-2.24,3.515
2017-10-19,0.37500000000000017,2.7600000000000002,0.8200000000000003,3.3250000000000006,-1.1099999999999999,3.4750000000000005,-1.3450000000000002,-3.5100000000000007,3.0650000000000004
2017-10-25,-0.16500000000000006,2.43,0.3500000000000002,2.915000000000001,-1.38,3.0650000000000004,-1.2750000000000004,-3.7700000000000005,2.815000000000001
2017-10-31,-0.33,1.86,0.33999999999999997,2.21,-2.09,2.1,-1.26,-3.5,2.6500000000000012
2017-11-06,-0.41000000000000003,1.4800000000000004,0.49000000000000005,1.85,-2.32,1.8200000000000005,-1.4799999999999998,-2.6100000000000003,1.7800000000000002
2017-11-12,-0.30999999999999994,1.4400000000000004,0.46999999999999986,1.6600000000000001,-2.25,2.1800000000000006,-1.1999999999999997,-2.79,1.4000000000000001
