Date,3m8ox52Pxs,3m8ox52Pxx,3m8ox52Pxy,3m8ox52Py3,3m8ox52h0o,3m8ox52h0p,3m8ox52h0r,3m8ox52h0u,3m8ox52h0z,3m8ox52h10,3m8ox52h14,3m8ox52h15,3m8ox52y3s,3m8ox52y3t,3m8ox52y3w,3m8ox52y41,3m8ox52y42,3m8ox53F6t,3m8ox53F6w,3m8ox53F6x,3m8ox53F7A
2019-01-30,0.8400000000000001,2.0599999999999996,0.79,1.1600000000000001,-7.05,-4.78,5.420000000000002,3.3800000000000003,-1.2500000000000007,-0.37000000000000016,-0.45999999999999974,-1.7799999999999998,4.819999999999999,8.200000000000001,10.520000000000001,0.22999999999999984,1.09,8.67,-4.37,-5.55,3.8600000000000003
2019-02-05,0.72,2.19,0.5299999999999999,0.9400000000000001,-7.25,-4.15,5.19,3.1100000000000003,-1.1,-0.6600000000000006,-0.8899999999999998,-2.21,4.7700000000000005,7.92,10.25,0.1399999999999999,1.1599999999999997,8.610000000000001,-4.24,-5.860000000000001,3.650000000000001
2019-02-11,1.34,2.59,0.1799999999999998,0.96,-7.5600000000000005,-4.09,5.450000000000001,3.4200000000000004,-0.56,-0.7200000000000004,-0.5499999999999998,-2.72,4.79,7.57,10.440000000000001,0.6699999999999999,1.65,8.890000000000002,-4.41,-5.85,3.6000000000000005
2019-02-17,1.2,3.2700000000000005,0.6400000000000001,1.1300000000000001,-7.78,-3.4200000000000004,5.590000000000001,3.3300000000000005,0.13000000000000017,-0.10999999999999988,-0.4499999999999998,-2.7199999999999998,5.220000000000001,7.74,10.430000000000003,1.09,2.29,7.5,-3.7299999999999995,-5.880000000000001,3.48
2019-02-23,1.62,3.91,0.8400000000000001,1.1800000000000004,-7.959999999999999,-2.8400000000000003,5.859999999999999,3.5700000000000003,0.74,-0.2800000000000004,-1.3700000000000006,-2.24,5.370000000000001,7.900000000000001,10.070000000000002,1.36,2.2700000000000005,6.64,-4.34,-6.029999999999999,3.5300000000000002
2019-03-01,1.3900000000000001,4.11,1.57,1.4100000000000001,-8.1,-2.1600000000000006,6.140000000000001,3.86,0.9900000000000002,0.5900000000000002,-1.1299999999999997,-1.6700000000000004,5.260000000000001,8.270000000000001,9.940000000000001,1.7200000000000002,1.9799999999999998,6.99,-4.220000000000001,-5.919999999999999,3.5500000000000003
2019-03-07,1.33,4.430000000000001,1.4300000000000002,1.8200000000000003,-7.819999999999999,-2.1500000000000004,6.600000000000001,3.7299999999999995,0.9799999999999998,0.5000000000000002,-2.4300000000000006,-1.8300000000000005,4.65,8.66,9.860000000000003,1.5999999999999999,2.18,8.86,-4.510000000000001,-6.17,3.68
2019-03-13,1.26,4.87,1.3199999999999998,-0.20000000000000062,-7.57,-1.6400000000000003,6.620000000000001,3.81,1.41,0.32999999999999996,-2.76,-1.6400000000000006,4.5,8.47,9.629999999999999,1.8900000000000001,1.9499999999999997,9.41,-5.000000000000001,-6.410000000000001,3.54
2019-03-19,1.15,4.28,1.4800000000000002,0.27000000000000024,-7.74,-1.46,6.410000000000001,3.56,0.8699999999999999,-0.019999999999999962,-2.7099999999999995,-1.32,3.92,8.38,9.370000000000001,1.65,1.7100000000000002,10.350000000000001,-4.65,-6.53,3.39
2019-03-25,1.19,3.8200000000000003,1.2200000000000002,0.46000000000000013,-7.329999999999999,-1.0400000000000003,6.860000000000001,3.41,0.4299999999999997,-0.53,-1.4299999999999997,-1.05,3.58,8.62,9.200000000000001,1.15,0.8900000000000001,11.16,-4.48,-6.660000000000001,3.4600000000000004
