pid;latitude;longitude;height
3m8ox52PvH;51.11336;17.062475;119.8
3m8ox52PvL;51.113406;17.062861;126.8
3m8ox52PvQ;51.113423;17.063;119.3
3m8ox52PvT;51.113453;17.063243;122.4
3m8ox52PvX;51.113476;17.063432;120.1
3m8ox52PvY;51.11348;17.063464;118.8
3m8ox52Pva;51.113507;17.063693;124
3m8ox52gxu;51.113305;17.060971;120.8
3m8ox52gxz;51.113337;17.061238;119.4
3m8ox52gy3;51.113371;17.061517;121.3
3m8ox52gy4;51.113378;17.061577;121.4
3m8ox52gy5;51.113384;17.061625;120.8
3m8ox52gy7;51.113401;17.061766;121.8
3m8ox52gy8;51.113413;17.061867;123.8
3m8ox52gy9;51.113408;17.061824;119
3m8ox52gyA;51.113438;17.062068;127.6
3m8ox52gyB;51.113427;17.06198;120.7
3m8ox52gyH;51.113473;17.062361;121.9
3m8ox52gyL;51.113501;17.062589;121.4
3m8ox52gyQ;51.11354;17.062907;122.4
3m8ox52gyR;51.113539;17.062899;119.2
3m8ox52gyS;51.113539;17.062897;116.3
3m8ox52gyX;51.113584;17.063276;120.1
3m8ox52gya;51.113607;17.063461;120.5
3m8ox52gyb;51.113621;17.063577;123.1
3m8ox52gyf;51.113638;17.06372;118.7
3m8ox52gyi;51.113655;17.06386;116.9
3m8ox52y0x;51.113436;17.061005;121.4
3m8ox52y0y;51.11344;17.061036;120.1
3m8ox52y10;51.113455;17.061162;120.4
3m8ox52y13;51.113474;17.061319;119.4
3m8ox52y16;51.11351;17.061609;124.6
3m8ox52y17;51.113522;17.061714;126.8
3m8ox52y18;51.113532;17.06179;127.5
3m8ox52y1C;51.113546;17.061911;122.1
3m8ox52y1N;51.113627;17.062579;122.7
3m8ox52y1S;51.113673;17.062957;126.5
3m8ox52y1U;51.113666;17.062897;118.1
3m8ox52y1V;51.113689;17.063087;124.2
3m8ox52y1c;51.113732;17.063444;121.5
3m8ox52y1d;51.113742;17.063526;122.5
3m8ox52y1f;51.113755;17.063635;122
3m8ox52y1g;51.113761;17.063683;121.5
3m8ox52y1h;51.113764;17.063705;119.8
3m8ox53F3r;51.113499;17.06047;120.4
3m8ox53F3s;51.113511;17.060568;122.2
3m8ox53F3t;51.113515;17.060605;121.2
3m8ox53F43;51.113586;17.061189;120.7
3m8ox53F49;51.113643;17.06166;126
3m8ox53F4A;51.113651;17.061727;126.4
3m8ox53F4B;51.113657;17.061776;125.9
3m8ox53F4C;51.113665;17.06184;126.1
3m8ox53F4F;51.113681;17.061968;123.7
3m8ox53F4H;51.11369;17.062045;121.7
3m8ox53F4O;51.113754;17.06257;126.9
3m8ox53F4X;51.113805;17.062995;121.7
3m8ox53F4a;51.113823;17.063143;120.3
3m8ox53F4d;51.113841;17.063285;118.6
3m8ox53F4f;51.11386;17.063447;120.6
3m8ox53W6u;51.113629;17.060494;120.5
3m8ox53W6v;51.11364;17.060578;121.7
3m8ox53W71;51.113679;17.060898;120
3m8ox53W74;51.113703;17.061098;121
3m8ox53W7A;51.113749;17.061481;122.2
3m8ox53W7G;51.113795;17.061863;123.4
3m8ox53W7T;51.113881;17.062565;120.1
3m8ox53W7V;51.113895;17.062679;119.8
3m8ox53W7W;51.113903;17.062747;120.2
3m8ox53W7Z;51.113923;17.062912;119.6
3m8ox53W7b;51.113933;17.062993;117.9
3m8ox53W7d;51.113954;17.063167;120.4
3m8ox53nAJ;51.113926;17.061892;123.7
3m8ox53nAL;51.113936;17.061974;122
3m8ox53nAN;51.113943;17.062029;119
3m8ox53nAO;51.113964;17.0622;124.3
3m8ox53nAR;51.113983;17.062355;123.2
3m8ox53nAU;51.114005;17.06254;123.5
3m8ox53nAa;51.11404;17.062825;120.1
3m8ox53nAd;51.114065;17.063029;121.3
3m8ox53nAf;51.114079;17.063149;121.4
